time,RSI,MACD,STOCHRSI,AROON_OSCILLATOR,MFI,CCI,CMO,MACD_HIST,WILLR
1521074215.194467,0,0,0,0,1,0,0,0,0
1521074239.623835,0,0,0,0,1,0,0,0,0
1521074300.444362,0,0,0,0,1,0,0,0,0
1521074355.927235,0,0,0,0,1,0,0,0,0
1521074425.793443,0,0,0,0,1,0,0,0,0
1521074484.398056,0,0,-1,0,0,0,0,0,0
1521074544.042757,0,0,0,0,0,0,0,0,0
1521074605.542516,0,1,-1,0,0,0,1,1,0
1521074657.567091,0,0,0,0,0,0,-1,0,0
1521074719.961993,0,0,0,0,0,0,0,0,0
1521074786.543362,0,0,0,0,0,0,0,0,0
1521074836.308637,0,0,0,0,0,0,1,0,0
1521074897.395011,0,0,0,0,0,0,0,0,0
1521074963.124459,0,0,-1,0,0,0,1,0,0
1521075018.224305,0,0,-1,0,0,0,0,0,0
1521075081.022785,0,0,-1,0,0,0,0,0,0
1521075141.798356,0,0,-1,0,0,0,0,0,0
1521075202.376127,0,0,0,0,0,0,0,0,0
1521075255.687325,0,0,0,0,0,0,0,0,0
1521075324.641823,0,0,0,0,0,0,0,0,0
1521075384.564082,0,0,0,0,0,0,0,0,0
1521075442.929784,0,0,0,0,0,0,-1,0,0
1521075497.494213,0,0,0,-1,0,0,1,0,1
1521075559.343276,0,0,0,0,0,0,-1,0,0
1521075624.220438,0,0,0,0,0,0,0,0,0
1521075682.532706,0,0,0,0,0,0,0,0,0
1521075738.378249,0,0,0,0,0,0,0,0,0
1521075795.87587,0,0,0,0,0,0,0,0,0
1521075863.150298,0,0,0,0,0,0,0,0,0
1521075923.027087,0,0,0,0,0,0,0,0,0
1521075989.890724,0,0,-1,0,0,0,0,0,0
1521076042.079246,0,1,0,0,0,0,1,1,0
1521076104.025158,0,0,-1,0,0,0,0,0,0
1521076155.669899,0,0,-1,0,0,0,0,0,0
1521076217.189408,0,0,-1,0,1,0,0,0,0
1521076284.835798,0,0,0,0,1,0,-1,0,0
1521076340.004978,0,1,0,1,0,0,1,1,0
1521076404.993239,0,0,0,0,0,0,0,0,0
1521076459.560413,0,0,-1,0,0,0,0,0,0
1521076523.025858,0,0,-1,0,0,0,0,0,0
1521076587.396988,0,0,0,0,0,0,0,0,0
1521076638.954539,0,0,0,0,0,0,0,0,0
1521076697.367777,0,0,0,0,0,0,0,0,0
1521076764.819694,0,0,0,0,0,0,0,0,0
1521076818.448276,0,0,0,0,0,0,0,0,0
1521076878.175441,0,0,0,0,0,0,0,0,0
1521076940.397606,0,0,0,0,0,0,0,0,0
1521077000.958488,0,0,0,0,0,0,0,0,0
1521077055.955263,0,0,0,0,-1,0,0,0,0
1521077127.536542,0,0,0,0,0,0,0,0,0
1521077182.347593,0,0,0,0,0,0,0,0,0
1521077244.65286,0,0,1,0,0,0,-1,0,0
1521077305.433205,0,0,1,0,0,0,0,-1,0
1521077358.032075,0,0,1,0,0,0,0,0,0
1521077420.559379,0,0,1,0,0,0,0,0,0
1521077476.303973,0,0,0,0,0,-1,1,0,0
1521077542.450846,0,0,0,0,0,0,0,0,0
1521077599.303887,0,0,0,-1,0,0,-1,0,0
1521077663.109611,0,0,0,1,0,1,1,0,0
1521077717.811572,0,0,0,0,0,-1,0,0,0
1521077783.45647,0,0,0,0,0,0,0,0,0
1521077843.71169,0,0,0,-1,0,0,-1,0,0
1521077905.188094,0,0,0,0,0,0,0,0,0
1521077959.902276,0,0,0,0,0,0,0,0,0
1521078022.542136,0,0,0,0,0,0,1,0,0
1521078084.166251,0,0,0,0,0,0,0,0,0
1521078137.953318,0,0,0,0,0,0,-1,0,0
1521078206.865578,0,0,0,0,0,0,0,0,0
1521078259.463818,0,0,0,0,0,0,-1,0,0
1521078319.76469,0,0,0,0,0,0,1,0,0
1521078382.547532,0,0,0,0,0,0,-1,0,0
1521078440.158003,0,0,0,0,0,0,1,0,0
1521078501.30049,0,0,0,0,0,0,0,0,0
1521078557.455613,0,0,0,0,0,0,0,0,0
